Reviewer,Content,Date,Stars,Local Guide,Likes,Label
Tung Anh Yogi,Mọi người thân thiện khi Ci Yoga Therapy đến làm workshop tại đây,4 tuần trước,5 sao,2 bài đánh giá · 2 ảnh,0,Tích cực
Cẩm Thuy,"Hợp đồng không được chăm sóc, không có nhân viên hỗ trợ khi gặp vấn đề. Hỏi đáp khó khăn. Bán được sản phẩm là cty hết trách nhiệm. K có ưu đãi hay điểm thưởng hay bất cứ quà tặng nào cho khách ngoại trừ cái áo mưa năm đầu tiên. Khi có vấn đề k liên hệ đc nhân viên manulife",3 tuần trước,1 sao,2 bài đánh giá · 3 ảnh,0,Tiêu cực
Hiền Trần,"Bạn bè, người thân nói mình mua bảo hiểm không có lợi gì đâu mà mình vẫn mua Manulife do nhân viên VPB gọi giới triệu và bảng minh họa chỉ vẽ 1 bức tranh tài chính không đúng như lúc bạn đã đóng phí nhiều năm thì khi kết thúc hợp đồng Bạn chỉ nhận được 1 Khoản tiền nhỏ chỉ khoảng 25% giá trị hợp đồng đã đóng. Nếu rủi ro bạn không thể tiếp tục đóng phí và bạn MẤT 75% số tiền đã đóng phí dù bạn đóng 2/3 thời gian của hợp đồng. LỜI KHUYÊN CHÂN THÀNH: BẠN HÃY TIẾT KIỆM TỪNG ĐỒNG RỒI MUA VÀNG, $$, Đầu tư học hành, kinh doanh... Mua Bảo Hiểm Y Tế Hàng Năm phòng rủi ro bệnh tật. NÉ NGAY VÀ LUÔN BẢO HIỂM NHÂN THỌ để khỏi mất tiền NGU như mình! NHỚ KỸ NHÉ!",2 tháng trước,1 sao,Local Guide · 25 bài đánh giá · 28 ảnh,0,Tiêu cực
Tuấn Anh Nguyễn,"Manulife ủy quyền cho công ty này giải quyết claim BH cho tôi, sau hàng loạt yêu cầu hồ sơ theo phương châm : câu giờ làm khách hàng nản lòng. Mọi người định mua BH của manulife hay sử dụng dịch vụ của insmart thì nên cân nhắc lại. Vẽ lên viễn cảnh tươi đẹp lắm, chi trả hậu hĩnh lắm... nhưng khi quý khách trải nghiệm rồi sẽ hiểu thế nào là bảo hiểm nhân thọ. Còn các TH chi trả, trả dc cho ai đồng nào là seeding , mua bài truyền thông liền - nhưng những trường hợp ko dc chi trả thì họ có dám post lên ko? Lấy tiền của bhnt ko dễ đâu quý vị ạ. Tôi vượt qua định kiến xã hội để mua BHNT rồi cuối cùng bẽ bàng nhận ra lời cảnh báo của mọi người là sự thật.",4 tháng trước,1 sao,16 bài đánh giá · 17 ảnh,2,Tiêu cực
Quyen Dinh,Tôi cần nhân viên giải quyết về quyền lợi của tôi nhưng tấy cà các kênh đều chậm trễ. Và tại thời điểm này hơn 1 tháng vẫn dậm chân tại chỗ,3 tháng trước,1 sao,1 bài đánh giá · 8 ảnh,2,Tiêu cực
Clever Kids,"Manulife là một công ty bảo hiểm Nuoc ngoài đầu tiên vào Việt Nam,  đội ngũ từ van chuyện nghiệp và dịch vụ bảo hiểm hàng đầu, uy tín.  Đao tao chuyện nghiệp,  họ so giải quyết nhanh chóng.  Rất ok",5 năm trước,5 sao,Local Guide · 14 bài đánh giá · 510 ảnh,2,Tích cực
Diep Ngoc,"Văn phòng đep, rông rãi, nhân vien nhiet tinh than thien. Vote cho Manulife Vietnam - Van Phong Pham Ngọc Thạch",5 năm trước,5 sao,1 bài đánh giá · 4 ảnh,1,Tích cực
QUANG PRO - Review tất tần tật,"Văn phòng sạch đẹp, nhân viên lịch sự và văn hoá doanh nghiệp rất thân thiện, hiếu khách.",3 năm trước,5 sao,Local Guide · 144 bài đánh giá · 117 ảnh,0,Tích cực
Tran Quoc Cuong,Công ty tài chính chuyên nghiêp Quy tụ nhiều bạn trẻ có đam bán hàng,6 năm trước,5 sao,Local Guide · 57 bài đánh giá · 56 ảnh,0,Tích cực
Thị Hiền Đào,Gọi điện ko nghe máy tư vấn ko niềm nỡ,5 tháng trước,1 sao,1 bài đánh giá · 1 ảnh,0,Tiêu cực
Nguyễn Ngọc Đan Thanh,"Văn phòng đẹp, thoải mái, giờ giấc tự do, công việc nhẹ, lương cao",5 năm trước,5 sao,1 bài đánh giá · 2 ảnh,0,Tích cực
Trương Phúc,"Giải quyết quyền lợi khách hàng nhanh chóng, linh hoạt. Trước khi đi nên coi trước tầng 5 hay 7.",một năm trước,5 sao,Local Guide · 53 bài đánh giá · 36 ảnh,0,Tích cực
XUAN DUC13,"Quá thất vọng phát ngôn GIám đốc Manulife khi cho rằng DV Ngọc Lan khách hàng mua BHNT là hồ đồ,.. mua BHNT như mua mớ rau,.. ko đọc HD 100 trang..",một năm trước,2 sao,1 bài đánh giá,26,Tiêu cực
Yang Production,Văn phòng đẹp và năng lượng. Vote cho Manulife Văn Phòng Phạm Ngọc Thạch,4 năm trước,5 sao,1 bài đánh giá · 8 ảnh,0,Tích cực
Hung Dam,Giữ xe thái độ không tốt. Nhân viên chăm sóc khách hàng lầu 7 đưa sai form làm mất thời gian của khách hàng. Cuối cùng cũng có bạn nhân viên khác hỗ trợ giấy tờ.,4 năm trước,3 sao,Local Guide · 23 bài đánh giá · 10 ảnh,4,Tiêu cực
Phố Phồng,"Tư vấn không trung thực , sản phẩm bị lỗi, không tôn trọng khách hàng đến khiếu nại , lửa đảo",một năm trước,1 sao,1 bài đánh giá,5,Tiêu cực
PHOTOGRAPHER THANG DUONG,"Đội ngũ chuyên nghiệp, tận tình ❤️",5 năm trước,5 sao,Local Guide · 57 bài đánh giá · 153 ảnh,0,Tích cực
Nguyễn Thị Hồng Mơ,"Van phong dep, rong rai. Danh gia 5 sao cho Bao Hiem Manulife",4 năm trước,5 sao,4 bài đánh giá · 7 ảnh,0,Tích cực
Nhi Pham,Van phong dep. Rong rai va thoai mai. Vote cho Manulife Pham Ngoc Thach,5 năm trước,5 sao,1 bài đánh giá · 2 ảnh,0,Tích cực
My Tú Nguyễn Háo,Van phong đẹp. Rộng rãi và chuyen nghiệp,3 năm trước,5 sao,2 bài đánh giá · 1 ảnh,0,Tích cực
Khương Vũ Đình,"Nhân viên tiếp khách hàng hoà nhã, phục vụ nhiệt tình, có trách nhiệm. Kết quả giải quyết đúng hạn. Cám ơn.",5 năm trước,4 sao,Local Guide · 125 bài đánh giá · 7 ảnh,1,Tích cực
Trang sức Bạc HAS,"Môi trường làm việc tốt, công ty bảo hiểm uy tín, chi trả nhanh chóng⭐️❤️5 ⭐️",2 năm trước,5 sao,Local Guide · 19 bài đánh giá · 115 ảnh,0,Tích cực
Thiện Nhân Mio (Chú bé Ô),"văn phòng đẹp, tiện nghi, tôi tham gia hợp đồng bảo hiểm từ năm 2004 đến nay. tôi rất hài lòng",4 năm trước,5 sao,1 bài đánh giá,1,Tích cực
DUYÊN PHẠM,An Toàn,3 tuần trước,4 sao,6 bài đánh giá · 15 ảnh,0,Tích cực
DAT PHAM MINH,Van phong dep va rong rai,4 năm trước,5 sao,10 bài đánh giá · 15 ảnh,0,Tích cực
Đức Bùi,"Xử lý nhanh lẹ, nhân viên lịch sự chu đáo",một năm trước,5 sao,Local Guide · 61 bài đánh giá · 236 ảnh,0,Tích cực
Minh Nghia Manulife,Văn phòng làm việc chuyên nghiệp,4 năm trước,5 sao,Local Guide · 40 bài đánh giá · 61 ảnh,0,Tích cực
Thomas Le,Nhanh chóng tiện lợi khi cần giải quyết vấn đề tài chính cá nhân,5 năm trước,4 sao,Local Guide · 51 bài đánh giá · 130 ảnh,0,Tích cực
Kim Phong Trần,"Co mua hop dong bao hiem o day, duoc phuc vu rat nhiet tinh, tui rat thich",4 năm trước,5 sao,1 bài đánh giá · 1 ảnh,0,Tích cực
Trần Danh (Taurus),"Trụ sở rộng, đẹp, sang trọng, nằm đối diện nhà văn hóa thanh niên.",3 năm trước,5 sao,Local Guide · 312 bài đánh giá · 1.105 ảnh,0,Tích cực
Nga Nguyễn,Rất chu đáo từ em trai thanh niên lấy số đến bà lao công.,4 năm trước,5 sao,Local Guide · 116 bài đánh giá · 56 ảnh,0,Tích cực
Minh Nguyen,"Hơi chậm, thủ tục rườm rà, công nghệ cổ lỗ sỉ. Nhân viên dễ thương.",4 năm trước,4 sao,Local Guide · 184 bài đánh giá · 127 ảnh,1,Tiêu cực
tai dangthanh,"van phong dep, rong rai, tien nghi va lam viec chuyen nghiep. toi rat thich. Vote cho Bao Hiem Manulife",4 năm trước,5 sao,2 bài đánh giá,0,Tích cực
Phúc Tín,van phong dep va rong rai. nhan vien phuc vu rat chuyen nghiep,4 năm trước,5 sao,1 bài đánh giá,0,Tích cực
Do Huu Di,"VĂN PHÒNG ĐẸP, TÔI DẾN ĐÂY GIAO DỊCH MÙA DỊCH COVID NÊN RẤT VẮNG, PHỤC VỤ NHANH",4 năm trước,5 sao,1 bài đánh giá,0,Tích cực
Nghi Cao,Phục vụ khách hàng chu đáo và đào tạo đại lý chuyên nghiệp,5 năm trước,4 sao,Local Guide · 87 bài đánh giá · 52 ảnh,0,Tích cực
Nhã Nhi Trần,"Chuyên nghiệp, có ích cho khách hàng khi tham gia bảo hiểm",5 năm trước,5 sao,1 bài đánh giá,0,Tích cực
Khánh Võ,"Không gian hiện đại năng động, nhân viên nhiệt huyết.",4 năm trước,5 sao,Local Guide · 86 bài đánh giá · 4.622 ảnh,0,Tích cực
Hòa Thái Huy,Tạm ổn,7 tháng trước,4 sao,Local Guide · 59 bài đánh giá · 165 ảnh,0,Trung tính
Hằng Dương,"Bảo Hiểm Manulife làm việc rất nhiệt tình,chu đáo,đúng nguyên tắc",4 năm trước,5 sao,3 bài đánh giá · 37 ảnh,0,Tích cực
Tùng Péss,"dich vu chuyen nghiep, phuc vu tan tinh va chu dao.",4 năm trước,5 sao,2 bài đánh giá · 8 ảnh,0,Tích cực
LiliJuli Dang,Van phong dep va rong rai. Vote cho Bao Hiem Manulife,4 năm trước,5 sao,1 bài đánh giá · 1 ảnh,0,Tích cực
Trâm Anh Huỳnh Lê Ngọc,"Văn phòng mới, làm việc rất ok",5 năm trước,5 sao,Local Guide · 69 bài đánh giá · 26 ảnh,2,Tích cực
Tin Trung,"Văn phòng đẹp, nhân viên thân thiện, chuyên nghiệp",4 năm trước,5 sao,Local Guide · 123 bài đánh giá · 539 ảnh,0,Tích cực
Van QuangNgo,"Khung canh, mau sac nhe nhang, nhan vien tan tinh",4 năm trước,4 sao,29 bài đánh giá,1,Tích cực
anh nguyen,Một nơi làm việc chuyên nghiệp,2 năm trước,5 sao,Local Guide · 17 bài đánh giá · 51 ảnh,0,Tích cực
Quyen Chau Hau,"Nhân viên nhiệt tình, văn phonhf đẹp",5 năm trước,5 sao,Local Guide · 147 bài đánh giá · 36 ảnh,0,Tích cực
Đoàn Phạm Hoàng Trung,"Văn phòng hiện đại, chuẩn mực.",3 năm trước,5 sao,Local Guide · 157 bài đánh giá · 348 ảnh,0,Tích cực
KimLong Black,Uy tín. Bị là đền,6 năm trước,5 sao,Local Guide · 14 bài đánh giá · 26 ảnh,1,Tiêu cực
Nguyen Hieu Nghia,dichvu nhanh chong va tien loi,4 năm trước,5 sao,Local Guide · 3 bài đánh giá · 47 ảnh,0,Tích cực
Tuyen Phan,"dich vu tot, phuc vu chuyen nghiep",4 năm trước,5 sao,6 bài đánh giá · 3 ảnh,1,Tích cực
Nguyen Duong,"Dv tốt, nv vui vẻ nhiệt tình",6 năm trước,5 sao,Local Guide · 125 bài đánh giá · 367 ảnh,0,Tích cực
Phạm Minh Toàn,"Văn phòng đẹp, giảng viên hay.",6 năm trước,5 sao,Local Guide · 42 bài đánh giá · 774 ảnh,0,Tích cực
ho nguyen,nhiệt tình... giải quyết nhanh,4 năm trước,4 sao,Local Guide · 192 bài đánh giá · 571 ảnh,0,Tích cực
Phụng Lê,Nơi làm việc tốt nhất!,5 năm trước,5 sao,Local Guide · 48 bài đánh giá · 33 ảnh,0,Tích cực
Tùng Gà,Công ty tài chính chuyên nghiêp,6 năm trước,5 sao,68 bài đánh giá · 95 ảnh,0,Tích cực
Lê Tấn Thạnh,"Ngay trung tâm, sạch sẽ, hiện đại",4 năm trước,4 sao,Local Guide · 68 bài đánh giá · 55 ảnh,0,Tích cực
Hoang Anh,số 1 VN,3 năm trước,5 sao,6 bài đánh giá,1,Tích cực
Thuy Nguyen,Nơi làm việc tuyệt vời,5 năm trước,5 sao,Local Guide · 48 bài đánh giá · 71 ảnh,0,Tích cực
Bongchuyen PT,Đi đóng bh. Tốn tiền,4 năm trước,5 sao,Local Guide · 481 bài đánh giá · 2.647 ảnh,0,Trung tính
Tuoc Dang,Bao hiem tot nhat,5 năm trước,5 sao,Local Guide · 27 bài đánh giá · 139 ảnh,0,Tích cực
Công Nguyễn,Trải nghiệm tuyệt vời,4 năm trước,5 sao,5 bài đánh giá · 8 ảnh,0,Tích cực
Star Twinkle (bemapmat),Năng động,6 năm trước,4 sao,Local Guide · 174 bài đánh giá · 45 ảnh,0,Tích cực
tâm phạm,Toà nhà văn phòng,5 năm trước,5 sao,Local Guide · 126 bài đánh giá,0,Trung tính
Lê Duy Linh (Đầu Bếp Mê Ăn),Dịch vụ ưu việt,5 năm trước,5 sao,Local Guide · 118 bài đánh giá · 897 ảnh,0,Tích cực
Tong Dang,Tốt cho bạn,5 năm trước,5 sao,Local Guide · 61 bài đánh giá,0,Tích cực
Văn Hạo Ngô,Nên mua bảo hiểm,5 năm trước,5 sao,Local Guide · 37 bài đánh giá · 4 ảnh,0,Tích cực
Đá thiên nhien Phong Thủy,Rất chuyên nghiệp,5 năm trước,5 sao,Local Guide · 107 bài đánh giá · 75 ảnh,0,Tích cực
BA SON NGUYEN,Thú vị,5 năm trước,5 sao,Local Guide · 65 bài đánh giá · 384 ảnh,0,Tích cực
Đại Trần,Đẹp đẹp,7 năm trước,5 sao,Local Guide · 193 bài đánh giá · 1.077 ảnh,0,Tích cực
Huyen Pham,"Chuyên nghiệp, thân thiện",5 năm trước,5 sao,Local Guide · 31 bài đánh giá · 1 ảnh,0,Tích cực
"KHAI MINH CO., LTD",Chậm,2 năm trước,4 sao,Local Guide · 68 bài đánh giá · 16 ảnh,0,Tiêu cực
Khuê Phạm,Nhanh,4 năm trước,5 sao,Local Guide · 59 bài đánh giá · 8 ảnh,0,Tích cực
Sinh Tong,Manulife viet nam,6 năm trước,5 sao,Local Guide · 48 bài đánh giá · 82 ảnh,0,Trung tính
Tung Nguyen,Đẹp,6 năm trước,5 sao,Local Guide · 131 bài đánh giá · 215 ảnh,0,Tích cực
AnhThu HoNgoc,NGÀY 23 THÁNG 3 NĂM 2024. CÔNG TY BẢO HIỂM TỐT NHẤT TẠI VIệT NAM. TRẢ TIỀN CHO NGƯỜI NGAY BÂY GIỜ!!!!! ( MANULIFE & SCB) …,7 tháng trước,1 sao,2 bài đánh giá · 5 ảnh,1,Tiêu cực
khan genghis,Nơi tốt để đầu tư và bảo hiểm. Tôi khuyên bạn nên ghé thăm đó.,6 năm trước,5 sao,Local Guide · 138 bài đánh giá · 19 ảnh,0,Tích cực
Phùng Thị Thanh Tâm,N/A,5 năm trước,5 sao,Local Guide · 136 bài đánh giá · 1.021 ảnh,0,Trung tính
Aden Nguyễn,Dịch vụ rất tốt,4 năm trước,4 sao,Local Guide · 32 bài đánh giá · 19 ảnh,0,Tích cực
Tâm Hoàng,Được rồi,5 năm trước,5 sao,Local Guide · 328 bài đánh giá · 464 ảnh,0,Tích cực
Ryan Khuu,Tốt,6 năm trước,5 sao,8 bài đánh giá · 10 ảnh,0,Tích cực
Vien Dzu Bui,Xuất sắc,4 năm trước,5 sao,Local Guide · 950 bài đánh giá · 1.864 ảnh,0,Tích cực
"Số Đẹp BxB - Kiếp Này Không Chơi, Kiếp Nào Chơi ???",Dân tộc ưu tú,4 năm trước,5 sao,Local Guide · 1.049 bài đánh giá · 3.609 ảnh,0,Tích cực
Minh Huong Tran,N/A,4 tuần trước,5 sao,1 bài đánh giá · 3 ảnh,0,Trung tính
Ha Lee,N/A,2 tháng trước,5 sao,N/A,0,Trung tính
Khuyên Trần Huỳnh,N/A,3 tháng trước,5 sao,4 ảnh,0,Trung tính
Nguyện Nguyễn Hữu,N/A,8 tháng trước,5 sao,N/A,0,Trung tính
Stephanie Rebaca,N/A,một năm trước,1 sao,Local Guide · 60 bài đánh giá · 3.509 ảnh,0,Trung tính
Thieu Nguyen Diec,N/A,một năm trước,5 sao,14 bài đánh giá · 1 ảnh,0,Trung tính
Điều Hùng,N/A,một năm trước,5 sao,Local Guide · 139 bài đánh giá · 158 ảnh,0,Trung tính
Thảo Nguyên Trần,N/A,một năm trước,1 sao,N/A,0,Trung tính
tiger pham,N/A,2 năm trước,5 sao,N/A,0,Trung tính
Lan Le,N/A,2 năm trước,5 sao,Local Guide · 10 bài đánh giá · 29 ảnh,0,Trung tính
Le Anh Tuan,N/A,2 năm trước,5 sao,Local Guide · 210 bài đánh giá · 840 ảnh,0,Trung tính
Hải Nguyễn,N/A,2 năm trước,5 sao,Local Guide · 36 bài đánh giá,0,Trung tính
Bình Đỗ,N/A,2 năm trước,5 sao,N/A,0,Trung tính
Viên Lê Xuân,N/A,3 năm trước,4 sao,5 bài đánh giá · 2.768 ảnh,0,Trung tính
Hữu Đạt Thắng Nguyễn,N/A,3 năm trước,5 sao,Local Guide · 56 bài đánh giá · 53 ảnh,0,Trung tính
Xuân Mỹ (Bonnie),N/A,3 năm trước,5 sao,Local Guide · 1 bài đánh giá · 12 ảnh,0,Trung tính
Thuy Linda Pham,N/A,3 năm trước,5 sao,Local Guide · 72 bài đánh giá · 878 ảnh,0,Trung tính
Thi Nguyễn,N/A,3 năm trước,4 sao,Local Guide · 50 bài đánh giá · 317 ảnh,0,Trung tính
Soi2 Silom by Kelvin,N/A,3 năm trước,5 sao,Local Guide · 20 bài đánh giá · 29 ảnh,0,Trung tính
Du Ngo,N/A,3 năm trước,4 sao,2 ảnh,0,Trung tính
Hoàng Hà Nguyễn,N/A,3 năm trước,5 sao,1 bài đánh giá,0,Trung tính
Gia Hao Truong,N/A,3 năm trước,5 sao,2 bài đánh giá · 2 ảnh,0,Trung tính
Gialong Nguyen,N/A,4 năm trước,5 sao,2 bài đánh giá,0,Trung tính
Lap Phan,N/A,4 năm trước,5 sao,Local Guide · 11 bài đánh giá · 48 ảnh,0,Trung tính
Minh trưc Ngo,N/A,4 năm trước,4 sao,1 bài đánh giá,0,Trung tính
THEWoZ No1,N/A,4 năm trước,5 sao,N/A,0,Trung tính
Anthea Nguyễn,N/A,4 năm trước,5 sao,3 bài đánh giá · 3 ảnh,0,Trung tính
Pham Long “Leo”,N/A,4 năm trước,3 sao,Local Guide · 34 bài đánh giá · 2.770 ảnh,0,Trung tính
taan.,N/A,4 năm trước,5 sao,Local Guide · 11 bài đánh giá · 20 ảnh,0,Trung tính
Tien Phong Lam,N/A,4 năm trước,5 sao,Local Guide · 46 bài đánh giá · 80 ảnh,0,Trung tính
Nghĩa NT,N/A,4 năm trước,5 sao,13 bài đánh giá · 5 ảnh,0,Trung tính
Lệ Phan,N/A,4 năm trước,5 sao,4 bài đánh giá · 2 ảnh,0,Trung tính
Ngọc Việt Tạ,N/A,4 năm trước,5 sao,5 bài đánh giá · 3 ảnh,0,Trung tính
thanh dao,N/A,4 năm trước,5 sao,1 bài đánh giá,0,Trung tính
CHƯƠNG LÊ DƯƠNG ĐÌNH,N/A,4 năm trước,5 sao,Local Guide · 72 bài đánh giá · 689 ảnh,0,Trung tính
Chung Nguyễn Văn,N/A,4 năm trước,5 sao,N/A,0,Trung tính
Hữu Phát Trần,N/A,4 năm trước,5 sao,Local Guide · 47 bài đánh giá · 88 ảnh,0,Trung tính
Ngoc Diep Pham,N/A,4 năm trước,5 sao,Local Guide · 17 bài đánh giá · 19 ảnh,0,Trung tính
Longvan Hoang,N/A,4 năm trước,5 sao,21 bài đánh giá · 463 ảnh,0,Trung tính
Tien Trinh,N/A,4 năm trước,5 sao,N/A,0,Trung tính
Tan H. Luu,N/A,4 năm trước,5 sao,2 bài đánh giá · 1 ảnh,0,Trung tính
thomas pham,N/A,4 năm trước,5 sao,4 bài đánh giá · 3 ảnh,0,Trung tính
QuocMinh Vo,N/A,4 năm trước,5 sao,1 bài đánh giá,0,Trung tính
Châu Phạm,N/A,4 năm trước,5 sao,Local Guide · 6 bài đánh giá · 1 ảnh,0,Trung tính
Vĩ Thành Trần,N/A,5 năm trước,5 sao,Local Guide · 11 bài đánh giá · 6 ảnh,0,Trung tính
THANH VINFAST MIỀN NAM,N/A,5 năm trước,5 sao,20 bài đánh giá,0,Trung tính
Ken Henry,N/A,5 năm trước,5 sao,Local Guide · 31 bài đánh giá,0,Trung tính
Kelly To’Life,N/A,5 năm trước,5 sao,Local Guide · 36 bài đánh giá · 189 ảnh,0,Trung tính
Black Minh,N/A,5 năm trước,4 sao,Local Guide · 7 bài đánh giá · 26 ảnh,0,Trung tính
D Howie “Bong”,N/A,5 năm trước,5 sao,Local Guide · 2 bài đánh giá · 6 ảnh,0,Trung tính
Phước Huỳnh,N/A,5 năm trước,5 sao,Local Guide · 102 bài đánh giá · 72 ảnh,0,Trung tính
Cậu Ba,N/A,5 năm trước,5 sao,Local Guide · 197 bài đánh giá · 8.972 ảnh,0,Trung tính
N P,N/A,5 năm trước,5 sao,Local Guide · 62 bài đánh giá · 92 ảnh,0,Trung tính
Huong Truong,N/A,5 năm trước,5 sao,3 bài đánh giá · 3 ảnh,0,Trung tính
Hởi Trần Thị,Được rồi,5 năm trước,3 sao,3 bài đánh giá · 8 ảnh,0,Tích cực
Dương Vũ,N/A,5 năm trước,5 sao,Local Guide · 49 bài đánh giá · 106 ảnh,0,Trung tính
kim tran,N/A,5 năm trước,5 sao,Local Guide · 2 bài đánh giá,0,Trung tính
AUSTIN. TANG.8.22,N/A,5 năm trước,5 sao,Local Guide · 21 bài đánh giá · 24 ảnh,0,Trung tính
Bap Ngo Ngo Bap,N/A,5 năm trước,2 sao,N/A,0,Trung tính
Dương Nguyễn,N/A,5 năm trước,5 sao,1 bài đánh giá,0,Trung tính
minhngoc huynh,N/A,5 năm trước,5 sao,Local Guide · 17 bài đánh giá · 8 ảnh,0,Trung tính
Thảo Lê Hoàng,N/A,5 năm trước,2 sao,1 ảnh,0,Trung tính
Giang Nguyen Tan truong,N/A,5 năm trước,3 sao,Local Guide · 9 bài đánh giá · 160 ảnh,0,Trung tính
Huy Cai023,N/A,5 năm trước,4 sao,Local Guide · 5 bài đánh giá,0,Trung tính
Dinh Huong Pham,N/A,5 năm trước,3 sao,Local Guide · 21 bài đánh giá · 1 ảnh,0,Trung tính
thuyduong pham,N/A,5 năm trước,5 sao,Local Guide · 86 bài đánh giá · 3.535 ảnh,0,Trung tính
HỬU NHÂN LÊ,N/A,5 năm trước,5 sao,Local Guide · 4 bài đánh giá · 82 ảnh,0,Trung tính
Thương Nguyễn,N/A,5 năm trước,5 sao,Local Guide · 21 bài đánh giá · 10 ảnh,0,Trung tính
Ha Tran Thi An,N/A,6 năm trước,5 sao,Local Guide · 4 bài đánh giá · 178 ảnh,0,Trung tính
Trung Hiếu Trần,N/A,6 năm trước,4 sao,Local Guide · 8 bài đánh giá,0,Trung tính
Rih Rihksor,N/A,6 năm trước,3 sao,7 ảnh,0,Trung tính
Yui Phan,Được rồi,6 năm trước,5 sao,Local Guide · 94 bài đánh giá · 10 ảnh,0,Tích cực
Nẩu Hèm,N/A,6 năm trước,1 sao,Local Guide · 78 bài đánh giá · 19 ảnh,0,Trung tính
Hai Thaison,N/A,6 năm trước,5 sao,Local Guide · 23 bài đánh giá · 12 ảnh,0,Trung tính
Mantra Layla,N/A,6 năm trước,5 sao,2 bài đánh giá · 2 ảnh,0,Trung tính
Khanh Trần như,N/A,6 năm trước,5 sao,Local Guide · 21 bài đánh giá · 23 ảnh,0,Trung tính
Thang Chu,N/A,6 năm trước,5 sao,Local Guide · 50 bài đánh giá · 72 ảnh,0,Trung tính
tai le,N/A,6 năm trước,2 sao,N/A,0,Trung tính
Jade Co,N/A,6 năm trước,5 sao,N/A,0,Trung tính
